Title:,"Time Series, Area-Averaged of 2-meter air temperature monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-99.798,18.798,-98.458,20.058"
Data Bounding Box:,"-99.375,19,-98.75,20"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-99.798,18.798,-98.458,20.058&data=M2TMNXSLV_5_12_4_T2M(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXSLV_5_12_4_T2M):, 1000000000000000

time, mean_M2TMNXSLV_5_12_4_T2M
1990-01-01 00:00:00,12.0424137
1990-02-01 00:00:00,12.5689335
1990-03-01 00:00:00,14.835535
1990-04-01 00:00:00,16.5870304
1990-05-01 00:00:00,18.0280399
1990-06-01 00:00:00,16.8882694
1990-07-01 00:00:00,15.3028202
1990-08-01 00:00:00,15.0684147
1990-09-01 00:00:00,14.6659184
1990-10-01 00:00:00,13.6868229
1990-11-01 00:00:00,12.493494
1990-12-01 00:00:00,11.4894047
1991-01-01 00:00:00,11.9008732
1991-02-01 00:00:00,13.1070194
1991-03-01 00:00:00,16.3632755
1991-04-01 00:00:00,18.8846378
1991-05-01 00:00:00,18.836298
1991-06-01 00:00:00,17.2475224
1991-07-01 00:00:00,15.0027409
1991-08-01 00:00:00,15.2792912
1991-09-01 00:00:00,14.3127384
1991-10-01 00:00:00,13.4861393
1991-11-01 00:00:00,11.884119
1991-12-01 00:00:00,11.6437321
1992-01-01 00:00:00,10.8186588
1992-02-01 00:00:00,11.2410526
1992-03-01 00:00:00,15.3191166
1992-04-01 00:00:00,15.0779972
1992-05-01 00:00:00,15.9444218
1992-06-01 00:00:00,16.8315678
1992-07-01 00:00:00,15.5404911
1992-08-01 00:00:00,15.1614628
1992-09-01 00:00:00,14.4200993
