Title:,"Time Series, Area-Averaged of 2-meter air temperature monthly 0.5 x 0.625 deg. [MERRA-2 (monthly)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-117.754,31.873,-116.254,33.133"
Data Bounding Box:,"-117.5,32,-116.875,33"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-117.754,31.873,-116.254,33.133&data=M2TMNXSLV_5_12_4_T2M(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXSLV_5_12_4_T2M):, 1000000000000000

time, mean_M2TMNXSLV_5_12_4_T2M
1990-01-01 00:00:00,13.3317509
1990-02-01 00:00:00,12.361475
1990-03-01 00:00:00,13.8208256
1990-04-01 00:00:00,15.773859
1990-05-01 00:00:00,16.1828861
1990-06-01 00:00:00,20.1016483
1990-07-01 00:00:00,22.1610355
1990-08-01 00:00:00,21.3327274
1990-09-01 00:00:00,21.7588139
1990-10-01 00:00:00,20.4002323
1990-11-01 00:00:00,16.6732731
1990-12-01 00:00:00,12.7019901
1991-01-01 00:00:00,13.2697392
1991-02-01 00:00:00,15.3422489
1991-03-01 00:00:00,12.4916325
1991-04-01 00:00:00,14.5112553
1991-05-01 00:00:00,14.7812748
1991-06-01 00:00:00,16.3977909
1991-07-01 00:00:00,19.1837101
1991-08-01 00:00:00,20.4062443
1991-09-01 00:00:00,20.7888126
1991-10-01 00:00:00,20.131464
1991-11-01 00:00:00,16.6261539
1991-12-01 00:00:00,13.4284
1992-01-01 00:00:00,13.1399784
1992-02-01 00:00:00,14.702631
1992-03-01 00:00:00,14.0591373
1992-04-01 00:00:00,17.463892
1992-05-01 00:00:00,17.9176579
1992-06-01 00:00:00,18.5601749
1992-07-01 00:00:00,21.5671024
1992-08-01 00:00:00,23.3656254
1992-09-01 00:00:00,22.1550541
