Title:,"Time Series, Area-Averaged of Surface wind speed monthly 0.5 x 0.625 deg. [MERRA-2 Reanalysis (monthly)"
User Start Date:,1980-12-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-117.754,31.873,-116.254,33.133"
Data Bounding Box:,"-117.5,32,-116.875,33"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1980-12-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-117.754,31.873,-116.254,33.133&data=M2TMNXFLX_5_12_4_SPEED&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXFLX_5_12_4_SPEED):, 1000000000000000

time, mean_M2TMNXFLX_5_12_4_SPEED
1980-12-01 00:00:00,5.43256187
1981-01-01 00:00:00,4.84232283
1981-02-01 00:00:00,5.42162704
1981-03-01 00:00:00,5.48255062
1981-04-01 00:00:00,4.8814435
1981-05-01 00:00:00,4.62890387
1981-06-01 00:00:00,4.92316818
1981-07-01 00:00:00,4.33243942
1981-08-01 00:00:00,4.52834177
1981-09-01 00:00:00,4.31982374
1981-10-01 00:00:00,4.90844631
1981-11-01 00:00:00,4.78040504
1981-12-01 00:00:00,5.05045748
1982-01-01 00:00:00,6.1408534
1982-02-01 00:00:00,4.90721321
1982-03-01 00:00:00,5.57909346
1982-04-01 00:00:00,5.36090374
1982-05-01 00:00:00,4.57278347
1982-06-01 00:00:00,4.90798426
1982-07-01 00:00:00,4.09526491
1982-08-01 00:00:00,4.28900051
1982-09-01 00:00:00,4.44937515
1982-10-01 00:00:00,4.99444818
1982-11-01 00:00:00,5.14774179
1982-12-01 00:00:00,6.07015514
1983-01-01 00:00:00,5.82437611
1983-02-01 00:00:00,5.14607048
1983-03-01 00:00:00,6.67980385
1983-04-01 00:00:00,5.89307022
1983-05-01 00:00:00,5.15736103
1983-06-01 00:00:00,4.23271132
1983-07-01 00:00:00,4.30197477
1983-08-01 00:00:00,4.16921806
1983-09-01 00:00:00,4.26612473
1983-10-01 00:00:00,4.86476946
1983-11-01 00:00:00,5.11606789
1983-12-01 00:00:00,5.47273397
1984-01-01 00:00:00,6.04548025
1984-02-01 00:00:00,5.39164782
1984-03-01 00:00:00,5.20480537
1984-04-01 00:00:00,5.99360418
1984-05-01 00:00:00,4.47776318
1984-06-01 00:00:00,4.38787651
1984-07-01 00:00:00,4.13412619
1984-08-01 00:00:00,3.87549186
1984-09-01 00:00:00,4.56814623
1984-10-01 00:00:00,5.05828142
1984-11-01 00:00:00,4.87972212
1984-12-01 00:00:00,5.16541862
1985-01-01 00:00:00,5.43323946
1985-02-01 00:00:00,5.19645357
1985-03-01 00:00:00,5.46148634
1985-04-01 00:00:00,4.93801308
1985-05-01 00:00:00,4.61839533
1985-06-01 00:00:00,4.40530586
1985-07-01 00:00:00,4.11587381
1985-08-01 00:00:00,4.15136814
1985-09-01 00:00:00,4.39873409
1985-10-01 00:00:00,4.26669359
1985-11-01 00:00:00,5.35669804
