Title:,"Time Series, Area-Averaged of Surface wind speed monthly 0.5 x 0.625 deg. [MERRA-2 Reanalysis (monthly)"
User Start Date:,1980-12-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-96.813,18.551,-95.473,19.811"
Data Bounding Box:,"-96.25,19,-95.625,19.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1980-12-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-96.813,18.551,-95.473,19.811&data=M2TMNXFLX_5_12_4_SPEED&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXFLX_5_12_4_SPEED):, 1000000000000000

time, mean_M2TMNXFLX_5_12_4_SPEED
1980-12-01 00:00:00,6.33404875
1981-01-01 00:00:00,5.5069313
1981-02-01 00:00:00,6.26644993
1981-03-01 00:00:00,5.95912504
1981-04-01 00:00:00,5.10168695
1981-05-01 00:00:00,5.33655453
1981-06-01 00:00:00,5.07383919
1981-07-01 00:00:00,4.22415161
1981-08-01 00:00:00,4.59067917
1981-09-01 00:00:00,4.73536062
1981-10-01 00:00:00,5.28410625
1981-11-01 00:00:00,6.27516651
1981-12-01 00:00:00,6.42343807
1982-01-01 00:00:00,6.60832453
1982-02-01 00:00:00,6.27572393
1982-03-01 00:00:00,5.8678937
1982-04-01 00:00:00,6.04066563
1982-05-01 00:00:00,4.64131403
1982-06-01 00:00:00,4.1934967
1982-07-01 00:00:00,3.94637704
1982-08-01 00:00:00,3.51276755
1982-09-01 00:00:00,5.08855772
1982-10-01 00:00:00,5.81410503
1982-11-01 00:00:00,5.60952282
1982-12-01 00:00:00,6.28326559
1983-01-01 00:00:00,6.11280394
1983-02-01 00:00:00,6.06327105
1983-03-01 00:00:00,6.22539711
1983-04-01 00:00:00,6.80545902
1983-05-01 00:00:00,5.55127764
1983-06-01 00:00:00,4.48727274
1983-07-01 00:00:00,4.86458635
1983-08-01 00:00:00,3.65835929
1983-09-01 00:00:00,5.20606804
1983-10-01 00:00:00,5.84277248
1983-11-01 00:00:00,5.64618874
1983-12-01 00:00:00,7.21308947
1984-01-01 00:00:00,5.9036293
1984-02-01 00:00:00,5.86403656
1984-03-01 00:00:00,5.76495886
1984-04-01 00:00:00,6.77527285
1984-05-01 00:00:00,6.48475456
1984-06-01 00:00:00,4.50378561
1984-07-01 00:00:00,4.48613071
1984-08-01 00:00:00,4.32227039
1984-09-01 00:00:00,5.7188592
1984-10-01 00:00:00,4.81771183
1984-11-01 00:00:00,6.61471796
1984-12-01 00:00:00,5.40863752
1985-01-01 00:00:00,6.59638405
1985-02-01 00:00:00,6.21337986
1985-03-01 00:00:00,6.18153811
1985-04-01 00:00:00,5.716362
1985-05-01 00:00:00,4.70468235
1985-06-01 00:00:00,4.63326168
1985-07-01 00:00:00,4.55669737
1985-08-01 00:00:00,4.09114742
1985-09-01 00:00:00,4.30636454
1985-10-01 00:00:00,5.87562609
1985-11-01 00:00:00,4.87808228
