Title:,"Time Series, Area-Averaged of Surface maximum wind speed (mean of hourly maximum) monthly 0.5 x 0.625 (monthly)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,"-99.14,19.42,-99.12,19.44"
Data Bounding Box:,"-99.375,19.5,-99.375,19.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&bbox=-99.14,19.42,-99.12,19.44&data=M2TMNXFLX_5_12_4_SPEEDMAX&dataKeyword=SPEEDMAX&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXFLX_5_12_4_SPEEDMAX):, 1000000000000000

time, mean_M2TMNXFLX_5_12_4_SPEEDMAX
1990-01-01 00:00:00,3.79024649
1990-02-01 00:00:00,4.2920537
1990-03-01 00:00:00,4.28869152
1990-04-01 00:00:00,3.72776484
1990-05-01 00:00:00,3.88822103
1990-06-01 00:00:00,3.85304713
1990-07-01 00:00:00,3.68959713
1990-08-01 00:00:00,3.8862071
1990-09-01 00:00:00,3.85882759
1990-10-01 00:00:00,3.51677251
1990-11-01 00:00:00,4.13502932
1990-12-01 00:00:00,3.49631238
1991-01-01 00:00:00,4.14045477
1991-02-01 00:00:00,4.03853321
1991-03-01 00:00:00,5.10593176
1991-04-01 00:00:00,4.19025755
1991-05-01 00:00:00,3.4174304
1991-06-01 00:00:00,3.78411603
1991-07-01 00:00:00,3.58631349
1991-08-01 00:00:00,3.74826789
1991-09-01 00:00:00,4.45975351
1991-10-01 00:00:00,3.92066479
1991-11-01 00:00:00,3.53994393
1991-12-01 00:00:00,3.39685535
1992-01-01 00:00:00,4.51559591
1992-02-01 00:00:00,4.43042803
1992-03-01 00:00:00,4.15919113
1992-04-01 00:00:00,4.54775524
1992-05-01 00:00:00,3.29995012
1992-06-01 00:00:00,4.09629869
1992-07-01 00:00:00,3.63352346
1992-08-01 00:00:00,3.93685985
