Title:,"Time Series, Area-Averaged of 2-meter air temperature monthly 0.5 x 0.625 (monthly)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2024-12-31T23:59:59Z
User Bounding Box:,""
Data Bounding Box:,""
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2024-12-31T23:59:59Z&shape=state_dept_countries_2017/shp_141&&data=M2TMNXSLV_5_12_4_T2M(units%3DC)&portal=GIOVANNI&format=json"
Fill Value (mean_M2TMNXSLV_5_12_4_T2M):, 1000000000000000

time, mean_M2TMNXSLV_5_12_4_T2M
1990-01-01 00:00:00,15.1903629
1990-02-01 00:00:00,15.7428226
1990-03-01 00:00:00,18.6968632
1990-04-01 00:00:00,21.6106815
1990-05-01 00:00:00,24.0581913
1990-06-01 00:00:00,25.601862
1990-07-01 00:00:00,23.8015385
1990-08-01 00:00:00,23.4559574
1990-09-01 00:00:00,22.5336552
1990-10-01 00:00:00,20.2323856
1990-11-01 00:00:00,17.4865971
1990-12-01 00:00:00,14.858942
1991-01-01 00:00:00,14.5718937
1991-02-01 00:00:00,16.0881596
1991-03-01 00:00:00,18.4742374
1991-04-01 00:00:00,21.9203129
1991-05-01 00:00:00,23.9024906
1991-06-01 00:00:00,24.7810917
1991-07-01 00:00:00,23.3810368
1991-08-01 00:00:00,23.8872318
1991-09-01 00:00:00,22.0482731
1991-10-01 00:00:00,20.3410892
1991-11-01 00:00:00,16.1318913
1991-12-01 00:00:00,14.6117802
1992-01-01 00:00:00,13.1955509
1992-02-01 00:00:00,14.8323307
1992-03-01 00:00:00,17.8213749
1992-04-01 00:00:00,20.5614872
1992-05-01 00:00:00,22.4304752
1992-06-01 00:00:00,25.3652592
1992-07-01 00:00:00,24.5818424
1992-08-01 00:00:00,23.7997074
1992-09-01 00:00:00,23.1809635
1992-10-01 00:00:00,20.8020267
1992-11-01 00:00:00,16.3680668
1992-12-01 00:00:00,15.6758976
